dew,temperature,pression
-16,-4.0,1020.0
-15,-4.0,1020.0
-11,-5.0,1021.0
-7,-5.0,1022.0
-7,-5.0,1022.0
-7,-6.0,1022.0
-7,-6.0,1023.0
-7,-5.0,1024.0
-8,-6.0,1024.0
-7,-5.0,1025.0
-7,-5.0,1026.0
-8,-5.0,1026.0
-8,-5.0,1026.0
-8,-5.0,1025.0
-9,-5.0,1025.0
-9,-5.0,1025.0
-9,-5.0,1026.0
-8,-5.0,1027.0
-8,-5.0,1027.0
-8,-5.0,1028.0
-7,-5.0,1028.0
-7,-5.0,1027.0
-8,-6.0,1028.0
-8,-6.0,1027.0
-7,-6.0,1027.0
-8,-6.0,1026.0
-8,-7.0,1026.0
-8,-7.0,1025.0
-8,-7.0,1024.0
-9,-8.0,1024.0
-10,-8.0,1024.0
-10,-9.0,1024.0
-10,-9.0,1024.0
-11,-9.0,1023.0
-11,-9.0,1023.0
-11,-9.0,1022.0
-11,-9.0,1021.0
-11,-9.0,1020.0
-11,-9.0,1020.0
-11,-9.0,1020.0
-11,-9.0,1020.0
-11,-9.0,1020.0
-11,-9.0,1021.0
-11,-9.0,1022.0
-10,-9.0,1022.0
-11,-10.0,1023.0
-11,-9.0,1023.0
-12,-11.0,1023.0
-14,-12.0,1023.0
-16,-9.0,1023.0
-17,-10.0,1024.0
-18,-11.0,1024.0
-19,-11.0,1025.0
-20,-12.0,1026.0
-21,-12.0,1027.0
-21,-13.0,1027.0
-22,-13.0,1028.0
-22,-13.0,1029.0
-22,-12.0,1030.0
-23,-12.0,1031.0
-21,-11.0,1030.0
-20,-10.0,1030.0
-21,-10.0,1030.0
-21,-9.0,1030.0
-21,-9.0,1031.0
-20,-11.0,1032.0
-23,-11.0,1032.0
-21,-12.0,1033.0
-24,-12.0,1034.0
-24,-13.0,1034.0
-24,-13.0,1035.0
-26,-15.0,1035.0
-26,-17.0,1035.0
-26,-18.0,1035.0
-26,-19.0,1035.0
-27,-18.0,1035.0
-27,-19.0,1035.0
-27,-16.0,1034.0
-26,-16.0,1035.0
-27,-16.0,1034.0
-26,-16.0,1035.0
-26,-15.0,1035.0
-25,-14.0,1035.0
-25,-13.0,1035.0
-25,-12.0,1034.0
-24,-11.0,1032.0
-22,-11.0,1032.0
-23,-11.0,1031.0
-24,-11.0,1031.0
-23,-11.0,1031.0
-23,-11.0,1032.0
-22,-13.0,1033.0
-22,-12.0,1033.0
-24,-18.0,1033.0
-22,-13.0,1034.0
-22,-16.0,1033.0
-25,-17.0,1033.0
-25,-14.0,1033.0
-26,-14.0,1034.0
-26,-14.0,1033.0
-26,-14.0,1033.0
-26,-14.0,1033.0
-26,-14.0,1033.0
-26,-15.0,1034.0
-26,-14.0,1034.0
-25,-13.0,1035.0
-25,-12.0,1035.0
-24,-11.0,1035.0
-24,-10.0,1034.0
-22,-10.0,1033.0
-22,-9.0,1033.0
-22,-8.0,1033.0
-22,-8.0,1033.0
-21,-9.0,1033.0
-22,-9.0,1033.0
-22,-14.0,1034.0
-22,-12.0,1035.0
-21,-14.0,1034.0
-22,-16.0,1035.0
-21,-16.0,1035.0
-21,-16.0,1035.0
-21,-16.0,1035.0
-22,-18.0,1036.0
-23,-15.0,1036.0
-24,-16.0,1035.0
-25,-15.0,1035.0
-24,-15.0,1035.0
-25,-13.0,1036.0
-24,-14.0,1036.0
-23,-12.0,1036.0
-22,-11.0,1036.0
-20,-10.0,1036.0
-21,-9.0,1035.0
-21,-8.0,1034.0
-20,-7.0,1033.0
-20,-7.0,1032.0
-18,-8.0,1032.0
-19,-9.0,1032.0
-19,-11.0,1032.0
-18,-11.0,1033.0
-19,-15.0,1032.0
-19,-14.0,1032.0
-21,-14.0,1032.0
-21,-16.0,1032.0
-21,-17.0,1031.0
-19,-16.0,1031.0
-20,-16.0,1031.0
-19,-15.0,1030.0
-18,-15.0,1030.0
-18,-15.0,1029.0
-18,-15.0,1029.0
-16,-13.0,1029.0
-16,-12.0,1029.0
-16,-12.0,1030.0
-17,-10.0,1030.0
-16,-10.0,1029.0
-16,-9.0,1028.0
-15,-8.0,1026.0
-16,-8.0,1026.0
-16,-8.0,1025.0
-16,-8.0,1025.0
-17,-8.0,1025.0
-17,-9.0,1026.0
-17,-11.0,1026.0
-17,-12.0,1026.0
-18,-14.0,1027.0
-16,-9.0,1027.0
-16,-11.0,1027.0
-17,-13.0,1027.0
-17,-13.0,1027.0
-17,-14.0,1027.0
-17,-15.0,1027.0
-17,-13.0,1027.0
-19,-16.0,1027.0
-18,-15.0,1027.0
-19,-15.0,1027.0
-18,-14.0,1028.0
-18,-9.0,1029.0
-17,-7.0,1029.0
-17,-6.0,1030.0
-16,-6.0,1029.0
-16,-5.0,1029.0
-15,-4.0,1029.0
-14,-4.0,1028.0
-15,-4.0,1029.0
-15,-4.0,1030.0
-15,-7.0,1030.0
-15,-6.0,1031.0
-15,-7.0,1032.0
-15,-6.0,1032.0
-15,-8.0,1033.0
-15,-8.0,1033.0
-15,-11.0,1033.0
-17,-13.0,1033.0
-17,-12.0,1033.0
-17,-13.0,1033.0
-19,-14.0,1032.0
-18,-13.0,1032.0
-19,-13.0,1032.0
-19,-14.0,1033.0
-19,-14.0,1034.0
-17,-12.0,1033.0
-16,-7.0,1033.0
-15,-7.0,1033.0
-15,-7.0,1032.0
-14,-6.0,1031.0
-14,-6.0,1031.0
-13,-5.0,1030.0
-14,-5.0,1031.0
-14,-6.0,1031.0
-13,-7.0,1032.0
-15,-6.0,1032.0
-15,-6.0,1033.0
-15,-4.0,1034.0
-16,-4.0,1034.0
-17,-5.0,1035.0
